K1	5204.18826293945
K10	7378.10961914062
K100	4638.66442871094
K104	3668.66674804688
K105	2004.85534667969
K106	6285.8662109375
K107	3585.39300537109
K108	4644.43579101562
K109	4451.91784667969
K11	7301.25952148438
K110	6855.07513427734
K111	3522.97503662109
K112	5950.22463989258
K113	3787.69287109375
K114	8764.17272949219
K115	5971.17663574219
K116	4261.62768554688
K117	3549.51812744141
K118	3170.34649658203
K119	2243.4111328125
K12	5102.39196777344
K120	3125.28414916992
K121	7537.15914916992
K122	5065.32662963867
K123	2914.50634765625
K124	4056.75274658203
K125	3031.30676269531
K126	4702.98120117188
K127	3282.83694458008
K128	2447.38174438477
K129	9938.81539916992
K131	3692.19482421875
K132	3594.85345458984
K133	8161.21527099609
K134	8037.36901855469
K135	3192.25427246094
K136	2021.23327636719
K138	7375.80554199219
K139	6422.59100341797
K13_K23	3227.64276123047
K14	2304.1487121582
K140	4792.16076660156
K141	3657.89929199219
K142	10676.1874694824
K143	10647.2827148438
K144	9596.58538818359
K145	9106.60949707031
K146	8021.83453369141
K147	7945.85726928711
K148	3843.75769042969
K149	10066.0835266113
K15	3486.47250366211
K150	4812.876953125
K151	7823.63372802734
K153	10336.7854919434
K154	4596.74627685547
K155	4799.07934570312
K156	4597.51480102539
K157	2267.58520507812
K158	11205.3098754883
K159	11925.0491333008
K16	3551.63659667969
K160	9011.90350341797
K163	10798.8852539062
K18_K22	4667.61645507812
K19	4915.61566162109
K2	5860.28601074219
K20	3231.67034912109
K24	3810.36019897461
K3	11369.467590332
K4	9101.37158203125
K5	4169.85113525391
K51	4652.47216796875
K52	7448.97964477539
K53	7692.11212158203
K6	4211.35003662109
K7	6284.88616943359
K74	4468.53936767578
K92	4851.37509155273
K93	7728.27374267578
K94	2493.56005859375
K95	4413.45721435547
K96	7375.13958740234
K97	3203.25134277344
K98	10444.0639953613
KpsEDCSMT	5128.183471679688
KpsFU	1332.9696655273438